Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
41.999,0.92973,25.82616,,,,
42.099,0.91063,22.0652,,,,
42.144,0.86453,17.03888,,,,
42.206,0.80567,12.00595,,,,
42.293,0.72468,7.00481,,,,
42.393,0.63144,3.38974,,,,
42.493,0.53905,1.44163,,,,
42.593,0.44588,0.54983,,,,
42.693,0.35354,0.21673,,,,
42.793,0.26034,0.08945,,,,
42.893,0.1683,0.04777,,,,
42.993,0.07473,0.02305,,,,
43.075,-0.00075,0.01642,,,,
43.076,-0.00168,0.01625,,,,
43.077,-0.0026,0.01612,,,,
43.177,0.01566,0.03776,,,,
43.277,0.11433,0.05413,,,,
43.377,0.20777,0.1163,,,,
43.477,0.30063,0.25538,,,,
43.577,0.39335,0.65178,,,,
43.677,0.48623,1.61941,,,,
43.777,0.57885,3.68743,,,,
43.877,0.6716,7.31332,,,,
43.973,0.76056,12.34956,,,,
44.05,0.83179,17.37522,,,,
44.116,0.89329,22.42757,,,,
44.153,0.9276,25.53739,,,,
44.154,0.92853,25.62355,,,,
44.155,0.92945,25.70983,,,,
44.255,0.91021,21.93703,,,,
44.301,0.86323,16.85065,,,,
44.364,0.80358,11.78231,,,,
44.453,0.72069,6.74838,,,,
44.553,0.62749,3.2376,,,,
44.653,0.53507,1.36397,,,,
44.753,0.4419,0.52564,,,,
44.853,0.34957,0.19909,,,,
44.953,0.25637,0.08769,,,,
45.053,0.16439,0.04665,,,,
45.153,0.0708,0.02361,,,,
45.23,-0.00012,0.00985,,,,
45.231,-0.00104,0.00996,,,,
45.232,-0.00196,0.01011,,,,
45.332,0.01619,0.03095,,,,
45.432,0.11492,0.05732,,,,
45.532,0.20836,0.11107,,,,
45.632,0.30122,0.25586,,,,
45.732,0.39396,0.63985,,,,
45.832,0.48684,1.60189,,,,
45.932,0.57939,3.66178,,,,
46.032,0.67221,7.27996,,,,
46.128,0.76117,12.30475,,,,
46.205,0.83239,17.33135,,,,
46.271,0.89392,22.40321,,,,
46.308,0.92821,25.50909,,,,
46.309,0.92913,25.59533,,,,
46.31,0.93006,25.68171,,,,
46.41,0.91118,21.95728,,,,
46.455,0.86503,16.92475,,,,
46.517,0.80614,11.89122,,,,
46.605,0.72419,6.87124,,,,
46.705,0.63096,3.28997,,,,
46.805,0.53859,1.38833,,,,
46.905,0.4454,0.54325,,,,
47.005,0.35306,0.20075,,,,
47.105,0.25986,0.09181,,,,
47.205,0.16788,0.04317,,,,
47.305,0.07425,0.03099,,,,
47.386,-0.00039,0.01689,,,,
47.387,-0.00132,0.01673,,,,
47.388,-0.00224,0.0166,,,,
47.488,0.01597,0.02674,,,,
47.588,0.1147,0.05071,,,,
47.688,0.20811,0.11703,,,,
47.788,0.30097,0.24663,,,,
47.888,0.39374,0.62477,,,,
47.988,0.48652,1.56921,,,,
48.088,0.57919,3.60656,,,,
48.188,0.67196,7.21247,,,,
48.284,0.76092,12.21896,,,,
48.361,0.83214,17.22971,,,,
48.427,0.8937,22.29647,,,,
48.464,0.928,25.39688,,,,
48.465,0.92892,25.48299,,,,
48.466,0.92985,25.56929,,,,
48.566,0.91052,21.81224,,,,
48.612,0.86366,16.74075,,,,
48.675,0.80397,11.6818,,,,
48.764,0.7211,6.6713,,,,
48.864,0.62792,3.17155,,,,
48.964,0.5355,1.33138,,,,
49.064,0.44232,0.51202,,,,
49.164,0.34999,0.19922,,,,
49.264,0.25678,0.08506,,,,
49.364,0.16486,0.04335,,,,
49.464,0.07116,0.0289,,,,
49.542,-0.00069,0.01427,,,,
49.543,-0.00162,0.01442,,,,
49.544,-0.00254,0.01447,,,,
49.644,0.01559,0.03275,,,,
49.744,0.11438,0.05937,,,,
49.844,0.2078,0.10162,,,,
49.944,0.30064,0.25136,,,,
