Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"45.72000","1.10363","36.53988"
"45.82000","1.10363","36.53787"
"45.92000","1.10363","36.53135"
"46.02000","1.10363","36.51471"
"46.12000","1.10363","36.51023"
"46.22000","1.10363","36.49778"
"46.32000","1.10363","36.49595"
"46.42000","1.10363","36.47702"
"46.52000","1.10363","36.47328"
"46.62000","1.10363","36.45908"
"46.72000","1.10363","36.44126"
"46.82000","1.10363","36.43620"
"46.92000","1.10363","36.42718"
"47.02000","1.10363","36.41755"
"47.12000","1.10363","36.40903"
"47.22000","1.10363","36.39716"
"47.32000","1.10363","36.38794"
"47.42000","1.10363","36.38610"
"47.52000","1.10363","36.37861"
"47.62000","1.10363","36.36946"
"47.72000","1.10363","36.35914"
"47.82000","1.10363","36.34338"
"47.92000","1.10363","36.34243"
"48.02000","1.10363","36.32477"
"48.12000","1.10363","36.32643"
"48.22000","1.10363","36.31315"
"48.32000","1.10363","36.30594"
"48.42000","1.10363","36.29547"
"48.52000","1.10363","36.28711"
"48.62000","1.10363","36.27509"
"48.72000","1.10363","36.26651"
"48.82000","1.10363","36.25416"
"48.92000","1.10363","36.24159"
"49.02000","1.10363","36.23671"
"49.12000","1.10363","36.21915"
"49.22000","1.10363","36.21601"
"49.32000","1.10363","36.21538"
"49.42000","1.10363","36.20457"
"49.52000","1.10363","36.19324"
"49.62000","1.10363","36.18109"
"49.72000","1.10363","36.17952"
"49.82000","1.10363","36.17859"
"49.92000","1.10363","36.15963"
"50.02000","1.10363","36.15527"
"50.12000","1.10363","36.15088"
"50.22000","1.10363","36.13884"
"50.32000","1.10363","36.13651"
"50.42000","1.10363","36.11708"
"50.52000","1.10363","36.11622"
"50.62000","1.10363","36.10728"
"50.71900","1.10363","36.10069"
"50.72000","1.10363","36.10066"
"50.74500","1.10363","36.09670"
"50.84500","1.09024","34.35680"
"50.93900","1.05660","29.35376"
"51.03900","1.02519","25.29490"
"51.13900","0.99377","21.69148"
"51.23900","0.96254","18.50457"
"51.33900","0.93141","15.70422"
"51.43900","0.90029","13.21631"
"51.53900","0.86921","11.02959"
"51.63900","0.83808","9.11067"
"51.73900","0.80684","7.42874"
"51.83900","0.77570","5.96625"
"51.93900","0.74444","4.73904"
"52.03900","0.71324","3.71394"
"52.13900","0.68209","2.86698"
"52.23900","0.65141","2.19467"
"52.33900","0.62016","1.66497"
"52.43900","0.58885","1.23658"
"52.53900","0.55759","0.92613"
"52.63900","0.52642","0.69978"
"52.73900","0.49527","0.52752"
"52.83900","0.46437","0.40937"
"52.93900","0.43318","0.33001"
"53.03900","0.40224","0.28396"
"53.13900","0.37097","0.24492"
"53.23900","0.33954","0.21062"
"53.33900","0.30844","0.18954"
"53.43900","0.27752","0.17449"
"53.53900","0.24640","0.16939"
"53.63900","0.21508","0.15525"
"53.73900","0.18406","0.15324"
"53.83900","0.15297","0.14182"
"53.93900","0.12177","0.12811"
"54.03900","0.09070","0.12088"
"54.13900","0.05945","0.11690"
"54.23900","0.02836","0.11794"
"54.28600","0.01372","0.10865"
"54.28700","0.01341","0.10845"
"54.28800","0.01309","0.10839"
"54.38800","0.01364","0.12818"
"54.48800","0.04800","0.13257"
"54.58800","0.07995","0.14332"
"54.68800","0.11126","0.15985"
"54.78800","0.14249","0.17408"
"54.88800","0.17371","0.18963"
"54.98800","0.20499","0.21377"
"55.08800","0.23628","0.23270"
"55.18800","0.26731","0.26796"
"55.28800","0.29822","0.30533"
"55.38800","0.32937","0.34902"
"55.48800","0.36073","0.41281"
"55.58800","0.39171","0.51488"
"55.68800","0.42273","0.65949"
"55.78800","0.45397","0.83771"
"55.88800","0.48520","1.09082"
"55.98800","0.51647","1.43294"
"56.08800","0.54756","1.87211"
"56.18800","0.57858","2.43868"
"56.28800","0.60981","3.14242"
"56.38800","0.64074","4.01479"
"56.48800","0.67174","5.06768"
"56.58800","0.70316","6.30787"
"56.68800","0.73467","7.77590"
"56.78800","0.76562","9.41543"
"56.88800","0.79655","11.26114"
"56.98800","0.82759","13.33794"
"57.08800","0.85870","15.62161"
"57.18800","0.88978","18.12197"
"57.28800","0.92121","20.87690"
"57.38800","0.95240","23.76992"
"57.48800","0.98362","26.87185"
"57.58800","1.01454","30.13039"
"57.68800","1.04555","33.54888"
"57.78800","1.07668","37.13900"
"57.87400","1.10363","40.35988"
"57.87500","1.10393","40.39561"
"57.87600","1.10424","40.43140"
"57.97600","1.11472","41.15337"
"58.07600","1.11296","40.54115"
"58.17600","1.11173","40.12431"
"58.27600","1.11107","39.82782"
"58.37600","1.11077","39.62140"
"58.47600","1.11065","39.45315"
"58.57600","1.11066","39.32433"
"58.67600","1.11066","39.20045"
"58.77600","1.11056","39.08360"
"58.87600","1.11056","38.99167"
"58.97600","1.11056","38.90452"
"59.07600","1.11056","38.82200"
"59.17600","1.11056","38.74306"
"59.27600","1.11056","38.67111"
"59.37600","1.11056","38.61253"
"59.47600","1.11056","38.54197"
"59.57600","1.11056","38.49520"
"59.67600","1.11056","38.44591"
"59.77600","1.11056","38.39096"
"59.87600","1.11056","38.33600"
"59.97600","1.11056","38.28964"
"60.07600","1.11056","38.24817"
"60.17600","1.11056","38.19685"
"60.27600","1.11056","38.15282"
"60.37600","1.11056","38.11507"
"60.47600","1.11056","38.07576"
"60.57600","1.11056","38.03130"
"60.67600","1.11056","37.99256"
"60.77600","1.11056","37.95731"
"60.87600","1.11056","37.92833"
"60.97600","1.11056","37.90090"
"61.07600","1.11047","37.85956"
"61.17600","1.11047","37.83033"
"61.27600","1.11053","37.80699"
"61.37600","1.11054","37.77375"
"61.47600","1.11056","37.74702"
"61.57600","1.11056","37.72194"
"61.67600","1.11056","37.70066"
"61.77600","1.11056","37.66272"
"61.87600","1.11056","37.64715"
"61.97600","1.11056","37.61309"
"62.07600","1.11056","37.58727"
"62.17600","1.11056","37.56222"
"62.27600","1.11056","37.53078"
"62.37600","1.11056","37.51660"
"62.47600","1.11056","37.48980"
"62.57600","1.11056","37.46061"
"62.67600","1.11056","37.45884"
