Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"3.85000","1.31692","78.82130"
"3.86000","1.32040","79.14344"
"3.87000","1.32382","79.46507"
"3.88000","1.32721","79.78411"
"3.89000","1.33059","80.09839"
"3.90000","1.33398","80.40993"
"3.91000","1.33741","80.72198"
"3.92000","1.34092","81.04021"
"3.93000","1.34451","81.36820"
"3.94000","1.34813","81.69897"
"3.95000","1.35173","82.02831"
"3.96000","1.35528","82.35548"
"3.97000","1.35873","82.67701"
"3.98000","1.36212","82.98875"
"3.99000","1.36546","83.29266"
"4.00000","1.36878","83.60282"
"4.01000","1.37214","83.91807"
"4.02000","1.37554","84.23621"
"4.03000","1.37901","84.55890"
"4.04000","1.38254","84.88101"
"4.04700","1.38504","85.10606"
"4.04800","1.38540","85.13831"
"4.04900","1.38575","85.17058"
"4.14900","1.38397","83.89145"
"4.23600","1.35073","78.83888"
"4.33500","1.31566","73.83829"
"4.43500","1.28099","69.20659"
"4.53500","1.24628","64.71734"
"4.63500","1.21154","60.36562"
"4.73500","1.17678","56.16208"
"4.83500","1.14205","52.09782"
"4.93500","1.10775","48.23473"
"5.03500","1.07320","44.46391"
"5.13500","1.03848","40.83311"
"5.23500","1.00368","37.31499"
"5.33500","0.96887","33.95756"
"5.43500","0.93438","30.76912"
"5.53500","0.90003","27.74390"
"5.63500","0.86539","24.85328"
"5.73500","0.83058","22.12510"
"5.83500","0.79575","19.56906"
"5.93500","0.76098","17.19942"
"6.03500","0.72669","15.04153"
"6.13500","0.69220","13.04856"
"6.23500","0.65764","11.22145"
"6.33500","0.62281","9.56503"
"6.43500","0.58813","8.08002"
"6.53500","0.55342","6.76781"
"6.63500","0.51916","5.62287"
"6.73500","0.48463","4.59804"
"6.83500","0.44986","3.69195"
"6.93500","0.41512","2.91425"
"7.03500","0.38032","2.25136"
"7.13500","0.34609","1.71231"
"7.23500","0.31151","1.25999"
"7.33500","0.27689","0.90567"
"7.43500","0.24214","0.62464"
"7.53500","0.20736","0.40454"
"7.63500","0.17298","0.24333"
"7.73500","0.13833","0.13147"
"7.83500","0.10382","0.07032"
"7.93500","0.06908","0.03865"
"8.03500","0.03442","0.01666"
"8.13400","0.00004","0.01815"
"8.13500","-0.00029","0.01772"
"8.13600","-0.00062","0.01731"
"8.23600","0.00084","0.03524"
"8.33600","0.03960","0.05389"
"8.43600","0.07505","0.09865"
