Strain : Tensile strain (Extension) gauge length,100,mm,Sample 24,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
36.115,1.37053,49.94952,,,,
36.215,1.37053,49.916,,,,
36.315,1.37053,49.882,,,,
36.415,1.37053,49.85818,,,,
36.515,1.37053,49.82674,,,,
36.615,1.37053,49.80342,,,,
36.715,1.37053,49.77027,,,,
36.815,1.37053,49.74373,,,,
36.915,1.37053,49.71574,,,,
37.015,1.37053,49.68587,,,,
37.115,1.37053,49.66291,,,,
37.215,1.37053,49.63426,,,,
37.315,1.37053,49.60724,,,,
37.415,1.37053,49.58416,,,,
37.515,1.37053,49.54395,,,,
37.615,1.37053,49.52284,,,,
37.715,1.37053,49.50315,,,,
37.815,1.37053,49.47355,,,,
37.915,1.37053,49.45555,,,,
38.015,1.37053,49.42663,,,,
38.115,1.37053,49.40535,,,,
38.215,1.37053,49.38734,,,,
38.315,1.37053,49.3619,,,,
38.415,1.37053,49.33043,,,,
38.515,1.37053,49.30266,,,,
38.615,1.37053,49.28978,,,,
38.715,1.37053,49.2622,,,,
38.815,1.37053,49.23515,,,,
38.915,1.37053,49.21516,,,,
39.015,1.37053,49.1987,,,,
39.115,1.37053,49.18235,,,,
39.215,1.37053,49.15103,,,,
39.315,1.37053,49.14197,,,,
39.415,1.37053,49.11004,,,,
39.515,1.37053,49.09762,,,,
39.615,1.37053,49.07064,,,,
39.715,1.37053,49.05304,,,,
39.815,1.37053,49.02899,,,,
39.915,1.37053,49.01237,,,,
40.015,1.37053,48.99297,,,,
40.115,1.37053,48.96907,,,,
40.215,1.37053,48.94747,,,,
40.315,1.37053,48.93081,,,,
40.415,1.37053,48.90235,,,,
40.515,1.37053,48.89092,,,,
40.615,1.37053,48.87932,,,,
40.715,1.37053,48.84971,,,,
40.815,1.37053,48.82928,,,,
40.915,1.37053,48.81913,,,,
41.015,1.37053,48.80435,,,,
41.115,1.37053,48.77729,,,,
41.215,1.37053,48.76211,,,,
41.315,1.37053,48.74409,,,,
41.415,1.37053,48.728,,,,
41.515,1.37053,48.70628,,,,
41.615,1.37053,48.69828,,,,
41.715,1.37053,48.66805,,,,
41.815,1.37053,48.65313,,,,
41.915,1.37053,48.63468,,,,
42.015,1.37053,48.62327,,,,
42.115,1.37053,48.5986,,,,
42.215,1.37053,48.58688,,,,
