Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
8.829,1.29218,80.30856,,,,
8.834,1.45781,96.84029,,,,
8.839,1.62718,113.73188,,,,
8.844,1.79867,130.55353,,,,
8.849,1.97134,145.17995,,,,
8.854,2.14473,146.07014,,,,
8.859,2.31871,134.96126,,,,
8.864,2.49327,117.18364,,,,
8.869,2.66835,96.53217,,,,
8.874,2.84383,75.69035,,,,
8.879,3.01955,56.3992,,,,
8.884,3.19533,39.56578,,,,
8.889,3.37101,25.63889,,,,
8.894,3.54644,14.67858,,,,
8.899,3.72155,6.49664,,,,
8.904,3.89633,0.71151,,,,
8.909,4.07078,-3.05952,,,,
8.914,4.24495,-5.22441,,,,
8.919,4.41888,-6.18742,,,,
8.924,4.59261,-6.30665,,,,
8.929,4.7662,-5.8953,,,,
8.934,4.93971,-5.16435,,,,
8.939,5.11315,-4.28135,,,,
8.944,5.28654,-3.3575,,,,
8.949,5.45991,-2.49908,,,,
8.954,5.63326,-1.73531,,,,
8.959,5.80659,-1.10881,,,,
8.964,5.97988,-0.61786,,,,
8.969,6.15315,-0.26297,,,,
8.974,6.3264,-0.00916,,,,
8.979,6.49963,0.15624,,,,
8.984,6.67283,0.26398,,,,
8.989,6.846,0.31527,,,,
8.994,7.01917,0.31956,,,,
8.999,7.1923,0.29802,,,,
9.004,7.3654,0.26154,,,,
9.009,7.53849,0.22428,,,,
9.014,7.7116,0.18624,,,,
9.019,7.88472,0.16228,,,,
9.024,8.05785,0.12934,,,,
9.029,8.231,0.10253,,,,
9.034,8.40417,0.07702,,,,
9.039,8.57735,0.06161,,,,
9.044,8.75053,0.05,,,,
9.049,8.9237,0.04879,,,,
9.054,9.09685,0.04497,,,,
9.059,9.27002,0.03348,,,,
9.064,9.44318,0.02751,,,,
9.069,9.61633,0.02836,,,,
9.074,9.78947,0.03009,,,,
9.079,9.9626,0.03358,,,,
9.084,10.13574,0.04108,,,,
9.089,10.30889,0.04412,,,,
9.094,10.48205,0.04478,,,,
9.099,10.65522,0.04406,,,,
9.104,10.82841,0.04539,,,,
9.109,11.0016,0.0464,,,,
9.114,11.17478,0.05168,,,,
9.119,11.34795,0.04854,,,,
9.124,11.52111,0.04227,,,,
9.129,11.69425,0.03223,,,,
9.134,11.86736,0.02751,,,,
9.139,12.04046,0.02877,,,,
9.144,12.21353,0.03362,,,,
9.149,12.38658,0.03623,,,,
9.154,12.55962,0.0315,,,,
9.159,12.73265,0.03345,,,,
9.164,12.9057,0.0284,,,,
9.169,13.07877,0.0334,,,,
9.174,13.25185,0.03852,,,,
9.179,13.42495,0.04491,,,,
9.184,13.59805,0.04699,,,,
9.189,13.77116,0.04812,,,,
9.194,13.94427,0.04696,,,,
9.199,14.11737,0.0384,,,,
9.204,14.29047,0.04301,,,,
9.209,14.46358,0.04488,,,,
9.214,14.6367,0.04695,,,,
9.219,14.8098,0.04712,,,,
9.224,14.98289,0.04172,,,,
9.229,15.15597,0.03142,,,,
9.234,15.32907,0.03072,,,,
9.239,15.50217,0.02733,,,,
9.244,15.67527,0.03071,,,,
9.249,15.84836,0.03418,,,,
9.254,16.02147,0.03435,,,,
9.259,16.19457,0.03159,,,,
9.264,16.36767,0.03505,,,,
9.269,16.54075,0.03807,,,,
9.274,16.71384,0.03696,,,,
9.279,16.88693,0.03882,,,,
9.284,17.06001,0.03757,,,,
9.289,17.23308,0.03848,,,,
9.294,17.40614,0.03843,,,,
9.297,17.50997,0.0335,,,,
