Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
54.271,0.01692,0.01267,,,,
54.272,0.01655,0.01268,,,,
54.273,0.01618,0.01267,,,,
54.373,0.01791,0.02776,,,,
54.473,0.05899,0.03046,,,,
54.573,0.09643,0.03512,,,,
54.673,0.13349,0.03645,,,,
54.773,0.17041,0.0501,,,,
54.873,0.2075,0.05166,,,,
54.973,0.24414,0.07297,,,,
55.073,0.2808,0.08596,,,,
55.173,0.31739,0.10591,,,,
55.273,0.35419,0.12875,,,,
55.373,0.39132,0.15824,,,,
55.473,0.42805,0.19016,,,,
55.573,0.46477,0.25747,,,,
55.673,0.5015,0.32514,,,,
55.773,0.53807,0.44123,,,,
55.873,0.57512,0.57241,,,,
55.973,0.61175,0.75626,,,,
56.073,0.6484,1.00851,,,,
56.173,0.6851,1.32636,,,,
56.273,0.72182,1.74228,,,,
56.373,0.75894,2.27585,,,,
56.473,0.79564,2.94703,,,,
56.573,0.8325,3.78175,,,,
56.673,0.86888,4.78685,,,,
56.773,0.90571,5.99934,,,,
56.873,0.94262,7.41307,,,,
56.973,0.97931,9.01661,,,,
57.073,1.01613,10.85502,,,,
57.173,1.05285,12.9015,,,,
57.273,1.08967,15.16809,,,,
57.373,1.12663,17.66934,,,,
57.473,1.16347,20.38745,,,,
57.573,1.20016,23.29266,,,,
57.673,1.23682,26.39428,,,,
57.773,1.27354,29.68464,,,,
57.857,1.3044,32.59824,,,,
57.858,1.30478,32.63473,,,,
57.859,1.30515,32.67132,,,,
57.959,1.31768,33.27873,,,,
58.059,1.31544,32.64568,,,,
58.159,1.31397,32.23746,,,,
58.259,1.31325,31.96131,,,,
58.359,1.31298,31.76499,,,,
58.459,1.31292,31.62024,,,,
58.559,1.31288,31.48582,,,,
58.659,1.31288,31.37243,,,,
58.759,1.31288,31.26833,,,,
58.859,1.31288,31.17615,,,,
58.959,1.31279,31.10085,,,,
59.059,1.31278,31.02288,,,,
59.159,1.31278,30.94146,,,,
59.259,1.31283,30.88452,,,,
59.359,1.31284,30.83263,,,,
59.459,1.31284,30.76873,,,,
59.559,1.31285,30.71431,,,,
59.659,1.31285,30.6655,,,,
59.759,1.31288,30.61934,,,,
59.859,1.31287,30.56551,,,,
59.959,1.31288,30.52663,,,,
60.059,1.31288,30.48389,,,,
