Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
38.353,0.39682,0.46654,,,,
38.453,0.2927,0.16395,,,,
38.553,0.1893,0.07166,,,,
38.653,0.08518,0.04629,,,,
38.736,-0.00041,0.03943,,,,
38.737,-0.00145,0.03971,,,,
38.738,-0.00249,0.04001,,,,
38.838,0.02008,0.06303,,,,
38.938,0.12954,0.08408,,,,
39.038,0.23404,0.19035,,,,
39.138,0.33787,0.54902,,,,
39.238,0.4415,1.44667,,,,
39.338,0.54543,3.2652,,,,
39.438,0.64875,6.24562,,,,
39.538,0.75286,10.5294,,,,
39.63,0.8478,15.58967,,,,
39.706,0.92705,20.61645,,,,
39.773,0.99626,25.61772,,,,
39.813,1.03759,28.84211,,,,
39.814,1.03862,28.92461,,,,
39.815,1.03966,29.00722,,,,
39.915,1.01678,25.30779,,,,
39.963,0.96301,20.24395,,,,
40.025,0.89744,15.18542,,,,
40.105,0.81382,10.16461,,,,
40.205,0.71005,5.77661,,,,
40.305,0.60643,2.94537,,,,
40.405,0.50258,1.28042,,,,
40.505,0.39914,0.47483,,,,
40.605,0.29504,0.16222,,,,
40.705,0.19162,0.07123,,,,
40.805,0.08749,0.05381,,,,
40.89,-0.00016,0.04372,,,,
40.891,-0.0012,0.04411,,,,
40.892,-0.00224,0.04447,,,,
40.992,0.02039,0.0527,,,,
41.092,0.12979,0.08985,,,,
41.192,0.23427,0.18471,,,,
41.292,0.33812,0.53734,,,,
41.392,0.44174,1.43271,,,,
41.492,0.54568,3.21834,,,,
41.592,0.649,6.19637,,,,
41.692,0.7531,10.46161,,,,
41.784,0.84804,15.51245,,,,
41.86,0.9273,20.53347,,,,
41.928,0.99753,25.60982,,,,
41.967,1.03784,28.76537,,,,
41.968,1.03887,28.84855,,,,
41.969,1.0399,28.93176,,,,
42.069,1.0171,25.24278,,,,
42.117,0.9633,20.16842,,,,
42.179,0.89772,15.12523,,,,
42.259,0.81408,10.11629,,,,
42.359,0.71032,5.74119,,,,
42.459,0.60671,2.91618,,,,
42.559,0.50286,1.26454,,,,
42.659,0.3994,0.46418,,,,
42.759,0.29532,0.15414,,,,
42.859,0.1919,0.07577,,,,
42.959,0.08775,0.05505,,,,
43.045,-0.00093,0.04078,,,,
43.046,-0.00196,0.0407,,,,
43.047,-0.003,0.04058,,,,
43.147,0.01968,0.05373,,,,
43.247,0.12904,0.08592,,,,
43.347,0.23353,0.17865,,,,
43.447,0.33737,0.51842,,,,
43.547,0.441,1.40645,,,,
43.647,0.54493,3.16906,,,,
43.747,0.64825,6.10799,,,,
43.847,0.75233,10.35397,,,,
43.939,0.8473,15.37451,,,,
44.015,0.92655,20.38745,,,,
44.083,0.99678,25.45805,,,,
44.122,1.03708,28.59533,,,,
44.123,1.03811,28.67774,,,,
44.124,1.03914,28.76027,,,,
44.224,1.01639,25.10679,,,,
44.272,0.96256,20.03539,,,,
44.334,0.89696,15.00656,,,,
44.415,0.8123,9.96014,,,,
44.515,0.70851,5.63079,,,,
44.615,0.60492,2.85467,,,,
44.715,0.50104,1.22812,,,,
44.815,0.39761,0.44362,,,,
44.915,0.29351,0.15229,,,,
45.015,0.1901,0.07533,,,,
45.115,0.08594,0.0554,,,,
45.199,-0.00065,0.04235,,,,
45.2,-0.00168,0.04218,,,,
45.201,-0.00272,0.04198,,,,
45.301,0.0199,0.05921,,,,
45.401,0.12931,0.07999,,,,
45.501,0.23378,0.17904,,,,
