Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start ,High End
3.72,1.31458,51.64355,,,,
3.73,1.31826,51.93817,,,,
3.74,1.32188,52.22641,,,,
3.75,1.32546,52.50412,,,,
3.76,1.32899,52.77393,,,,
3.77,1.33248,53.04052,,,,
3.78,1.33597,53.30742,,,,
3.79,1.33949,53.57585,,,,
3.8,1.34308,53.85236,,,,
3.81,1.34674,54.13708,,,,
3.82,1.35041,54.42566,,,,
3.83,1.35406,54.71511,,,,
3.84,1.35766,55.00181,,,,
3.85,1.36119,55.28426,,,,
3.86,1.36469,55.55917,,,,
3.87,1.36818,55.83205,,,,
3.88,1.37165,56.10439,,,,
3.89,1.37515,56.38088,,,,
3.9,1.37872,56.66585,,,,
3.91,1.38237,56.96007,,,,
3.92,1.38607,57.25713,,,,
3.93,1.38977,57.55437,,,,
3.94,1.39342,57.8491,,,,
3.95,1.39699,58.13622,,,,
3.96,1.40048,58.41629,,,,
3.97,1.40394,58.68856,,,,
3.98,1.40738,58.96004,,,,
3.99,1.41085,59.23806,,,,
4,1.4144,59.52807,,,,
4.01,1.41803,59.82633,,,,
4.02,1.42171,60.12898,,,,
4.03,1.42541,60.43003,,,,
4.04,1.42909,60.72551,,,,
4.049,1.43236,60.98677,,,,
4.05,1.43272,61.01538,,,,
4.051,1.43308,61.04398,,,,
4.151,1.43058,59.23959,,,,
4.227,1.40062,54.19756,,,,
4.317,1.36712,49.19704,,,,
4.417,1.33107,44.33484,,,,
4.517,1.29493,39.897,,,,
4.617,1.25939,35.90745,,,,
4.717,1.22359,32.21988,,,,
4.817,1.18786,28.8429,,,,
4.917,1.15197,25.72327,,,,
5.017,1.116,22.85663,,,,
5.117,1.08029,20.24855,,,,
5.217,1.0445,17.84594,,,,
5.317,1.00878,15.66607,,,,
5.417,0.97284,13.63563,,,,
5.517,0.93721,11.8166,,,,
5.617,0.90138,10.16982,,,,
5.717,0.86574,8.68266,,,,
5.817,0.82983,7.33338,,,,
5.917,0.79385,6.14086,,,,
6.017,0.75801,5.09817,,,,
6.117,0.72217,4.17398,,,,
6.217,0.68679,3.37981,,,,
6.317,0.65095,2.70971,,,,
6.417,0.61516,2.13339,,,,
6.517,0.57904,1.66154,,,,
6.617,0.54309,1.27943,,,,
6.717,0.50754,0.9677,,,,
6.817,0.47183,0.72316,,,,
6.917,0.43599,0.53742,,,,
7.017,0.40018,0.39802,,,,
7.117,0.36422,0.29359,,,,
7.217,0.32849,0.22295,,,,
7.317,0.29276,0.16745,,,,
7.417,0.25695,0.13494,,,,
7.517,0.22107,0.10863,,,,
7.617,0.18538,0.09066,,,,
7.717,0.14961,0.07465,,,,
7.817,0.11388,0.06124,,,,
7.917,0.07807,0.05158,,,,
8.017,0.04209,0.04563,,,,
8.117,0.00626,0.03857,,,,
8.134,0.00021,0.03495,,,,
8.135,-0.00015,0.03455,,,,
8.136,-0.0005,0.03429,,,,
8.236,0.00172,0.05068,,,,
8.336,0.0417,0.05919,,,,
8.436,0.07805,0.07031,,,,
8.536,0.1141,0.09896,,,,
8.636,0.14991,0.12103,,,,
8.736,0.18599,0.15951,,,,
8.836,0.22166,0.20598,,,,
8.936,0.25752,0.26445,,,,
9.036,0.29318,0.36059,,,,
9.136,0.3289,0.49823,,,,
9.138,0.3296,0.5003,,,,
9.139,0.32995,0.50136,,,,
9.14,0.3303,0.50253,,,,
9.145,0.33206,0.51624,,,,
9.15,0.33422,0.58284,,,,
9.155,0.33802,0.69774,,,,
9.16,0.34535,0.86211,,,,
9.165,0.35837,1.09524,,,,
9.17,0.37921,1.44401,,,,
9.175,0.40984,1.99273,,,,
9.18,0.45194,2.88866,,,,
9.185,0.5069,4.3495,,,,
9.19,0.57576,6.65562,,,,
9.195,0.65928,10.16952,,,,
9.2,0.75789,15.27624,,,,
9.205,0.8715,22.34221,,,,
9.21,0.99961,31.63488,,,,
9.215,1.14142,43.23452,,,,
9.22,1.29559,56.90282,,,,
9.225,1.45962,72.18694,,,,
9.23,1.63053,88.42026,,,,
9.235,1.80565,104.75232,,,,
9.24,1.9831,120.7449,,,,
9.245,2.16179,136.06778,,,,
9.25,2.34116,150.20065,,,,
9.255,2.52101,162.85426,,,,
9.26,2.7013,174.47865,,,,
9.265,2.88199,185.55911,,,,
9.27,3.06303,196.27362,,,,
9.275,3.24428,206.71829,,,,
9.28,3.42561,216.93657,,,,
9.285,3.60689,226.9167,,,,
9.29,3.78801,236.57224,,,,
9.295,3.96888,245.80887,,,,
9.3,4.14949,254.5132,,,,
9.305,4.32982,262.11243,,,,
9.31,4.5099,265.03311,,,,
9.315,4.68976,259.07495,,,,
9.32,4.86943,245.68312,,,,
9.325,5.04899,228.17972,,,,
