Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"40.01900","1.27491","52.49018"
"40.11900","1.27491","52.47401"
"40.21900","1.27491","52.46200"
"40.31900","1.27491","52.44228"
"40.41900","1.27491","52.42067"
"40.51900","1.27491","52.40184"
"40.61900","1.27491","52.38673"
"40.71900","1.27491","52.37573"
"40.81900","1.27491","52.35742"
"40.91900","1.27491","52.34317"
"41.01900","1.27491","52.32658"
"41.11900","1.27491","52.30552"
"41.21900","1.27491","52.29418"
"41.31900","1.27491","52.28128"
"41.41900","1.27491","52.25964"
"41.51900","1.27491","52.24438"
"41.61900","1.27491","52.23305"
"41.71900","1.27491","52.22023"
"41.81900","1.27491","52.21191"
"41.91900","1.27491","52.19255"
"42.01900","1.27491","52.17402"
"42.11900","1.27491","52.16368"
"42.21900","1.27491","52.14257"
"42.31900","1.27491","52.13773"
"42.41900","1.27491","52.11581"
"42.51900","1.27491","52.10514"
"42.61900","1.27491","52.08942"
"42.71900","1.27491","52.07764"
"42.81900","1.27491","52.06196"
"42.91900","1.27491","52.04756"
"43.01900","1.27491","52.03489"
"43.11900","1.27491","52.01637"
"43.21900","1.27491","52.00994"
"43.31900","1.27491","51.99461"
"43.41900","1.27491","51.97802"
"43.51900","1.27491","51.95891"
"43.61900","1.27491","51.95416"
"43.71900","1.27491","51.94044"
"43.81900","1.27491","51.92372"
"43.91900","1.27491","51.91540"
"44.01900","1.27491","51.90380"
"44.11900","1.27491","51.88515"
"44.21900","1.27491","51.86451"
"44.31900","1.27491","51.85892"
"44.41900","1.27491","51.84822"
"44.51900","1.27491","51.83664"
"44.61900","1.27491","51.82544"
"44.71900","1.27491","51.80845"
"44.81900","1.27491","51.79493"
"44.91900","1.27491","51.78316"
"45.01900","1.27491","51.77129"
"45.11900","1.27491","51.75740"
"45.21900","1.27491","51.73806"
"45.31900","1.27491","51.73290"
"45.41900","1.27491","51.71857"
"45.51900","1.27491","51.71754"
"45.61900","1.27491","51.68781"
"45.71900","1.27491","51.68985"
"45.81900","1.27491","51.66230"
"45.91900","1.27491","51.66196"
