Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"25.83700","-0.00133","0.06042"
"25.83800","-0.00219","0.06028"
"25.93800","0.01403","0.08078"
"26.03800","0.10498","0.13347"
"26.13800","0.19112","0.30066"
"26.23800","0.27619","0.98504"
"26.33800","0.36133","2.62798"
"26.43800","0.44660","5.61100"
"26.53800","0.53143","9.98740"
"26.62900","0.60930","15.04423"
"26.70900","0.67709","20.07593"
"26.78200","0.73950","25.14041"
"26.85000","0.79749","30.18640"
"26.91400","0.85170","35.09702"
"26.91500","0.85255","35.17555"
"26.91600","0.85340","35.25404"
"27.01600","0.83626","31.62692"
"27.06200","0.79356","26.60751"
"27.11700","0.74513","21.57962"
"27.18200","0.68917","16.54047"
"27.26000","0.62295","11.53671"
"27.36000","0.53746","6.52220"
"27.46000","0.45250","3.18230"
"27.56000","0.36719","1.25278"
"27.66000","0.28216","0.40272"
"27.76000","0.19695","0.14166"
"27.86000","0.11181","0.08586"
"27.96000","0.02679","0.05976"
"27.99200","-0.00059","0.05282"
"27.99300","-0.00145","0.05266"
"27.99400","-0.00230","0.05246"
"28.09400","0.01414","0.07651"
"28.19400","0.10488","0.12207"
"28.29400","0.19100","0.29349"
"28.39400","0.27608","0.95261"
"28.49400","0.36120","2.56877"
"28.59400","0.44649","5.52058"
"28.69400","0.53132","9.86591"
"28.78500","0.60918","14.91007"
"28.86500","0.67699","19.94053"
"28.93800","0.73938","24.98404"
"29.00600","0.79737","30.02290"
"29.07000","0.85158","34.94270"
"29.07100","0.85242","35.02151"
"29.07200","0.85327","35.10034"
"29.17200","0.83622","31.48922"
"29.21800","0.79348","26.47299"
"29.27300","0.74504","21.45579"
"29.33800","0.68906","16.42650"
"29.41700","0.62198","11.38449"
"29.51700","0.53649","6.40095"
"29.61700","0.45157","3.10622"
"29.71700","0.36620","1.20737"
"29.81700","0.28123","0.39357"
"29.91700","0.19599","0.13049"
"30.01700","0.11087","0.07534"
"30.11700","0.02584","0.06045"
"30.14800","-0.00069","0.04950"
"30.14900","-0.00155","0.04916"
"30.15000","-0.00240","0.04882"
"30.25000","0.01373","0.07927"
"30.35000","0.10470","0.11748"
"30.45000","0.19083","0.28345"
"30.55000","0.27592","0.92556"
"30.65000","0.36104","2.50951"
"30.75000","0.44632","5.43268"
"30.85000","0.53116","9.74811"
"30.94100","0.60902","14.77169"
"31.02100","0.67681","19.78761"
"31.09400","0.73921","24.83374"
"31.16200","0.79720","29.87418"
"31.22700","0.85225","34.86637"
"31.22800","0.85309","34.94461"
"31.22900","0.85394","35.02293"
"31.32900","0.83683","31.41739"
"31.37500","0.79415","26.41203"
"31.43000","0.74570","21.39532"
"31.49500","0.68973","16.36550"
"31.57400","0.62268","11.33537"
"31.67400","0.53717","6.36562"
"31.77400","0.45226","3.07853"
"31.87400","0.36688","1.20092"
"31.97400","0.28195","0.37919"
"32.07400","0.19665","0.14042"
"32.17400","0.11154","0.08163"
"32.27400","0.02652","0.05703"
"32.30500","0.00000","0.05208"
"32.30600","-0.00086","0.05183"
"32.30700","-0.00171","0.05168"
"32.40700","0.01441","0.07511"
"32.50700","0.10537","0.11882"
"32.60700","0.19153","0.28106"
"32.70700","0.27659","0.90079"
"32.80700","0.36170","2.47445"
"32.90700","0.44700","5.37636"
"33.00700","0.53183","9.69185"
"33.09800","0.60969","14.70278"
"33.17800","0.67748","19.72213"
"33.25100","0.73990","24.75918"
"33.31900","0.79788","29.80277"
"33.38300","0.85207","34.71684"
"33.38400","0.85291","34.79520"
"33.38500","0.85376","34.87378"
